[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 362, groupId: 1
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 362, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cd341b0b09fd4eb7986c460dcc3def48, msgType : 19
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ec1a04fa3d6f49f1aaab86ff9d487723, msgType : 19
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 363, groupId: 1
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 363, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 363, groupId: 1
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 363, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 364, groupId: 1
[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 364, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 364, groupId: 1
