[DEBUG] [2023-01-31 09:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b6f7f9ee5804bdf869cda754b1dbab4, msgType : 19
[DEBUG] [2023-01-31 09:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9c63457eedf744d7906a8d8a8658585d, msgType : 19
[DEBUG] [2023-01-31 09:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 44752b7db0f8477e9b1ca92dbf7cc833, msgType : 18
[DEBUG] [2023-01-31 09:01:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : db01730e18d642ef8adfe590f5f4baf7, msgType : 18
[DEBUG] [2023-01-31 09:01:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bf133bf0197a4f6ebcf1bdc7b09ce5a8, msgType : 19
[DEBUG] [2023-01-31 09:01:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 237e4af0f0b245cd8e5d47d32e2b0fe8, msgType : 19
[DEBUG] [2023-01-31 09:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a4945bc69c6b488ea2e247cf85990426, msgType : 19
[DEBUG] [2023-01-31 09:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 03ee44b9225d42be9d9b7066792dbf83, msgType : 19
[DEBUG] [2023-01-31 09:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fc6c6a872c8e42e3af5bcc8e7dda20b2, msgType : 19
[DEBUG] [2023-01-31 09:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b9a319bf123d44d4a055fa2e9b64218d, msgType : 19
[DEBUG] [2023-01-31 09:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e2ac4e290e0e4ca3a011c72bee68b4aa, msgType : 19
[DEBUG] [2023-01-31 09:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b0e6e6ff2e84e6db6276cdef29f686b, msgType : 19
